ASIN,Name,Price,Old_Price,Discount,URL
B0CLGCN5ZS,"Momcozy Baby Carrier - Ergonomic, Cozy and Lightweight Carrier for 7-45lbs, Effortless to Put On, Ideal for Hands-Free Parenting, Enhanced Lumbar Support, Purehug for Infant to Toddler, Khaki",Deal Price: EUR 43.22,EUR 59.32,27% off,https://www.amazon.com/Momcozy-Baby-Carrier-Newborn-Toddler/dp/B0CLGCN5ZS?ref=dlx_deals_dg_dcl_B0CLGCN5ZS_dt_sl14_d9_pi&pf_rd_r=2BMQDE6X01A0NZ6A4MCV&pf_rd_p=feab9d2c-8001-4176-bbda-f2e5737a0bd9
B0CGJJJC4M,"SNSLXH 5 Pack Stackable Closet Storage Basket, Multifunctional & Foldable Closet Organizer for Bathroom Kitchen Laundry Room Wardrobe Storage, Space-Saving Clothes Storage Drawer Organizer, White",Deal Price: EUR 30.49,EUR 50.84,40% off,https://www.amazon.com/SNSLXH-Stackable-Multifunctional-Space-Saving-White/dp/B0CGJJJC4M?ref=dlx_deals_dg_dcl_B0CGJJJC4M_dt_sl14_d9_pi&pf_rd_r=2BMQDE6X01A0NZ6A4MCV&pf_rd_p=feab9d2c-8001-4176-bbda-f2e5737a0bd9
B0CJY5C9QX,"Teslong Two-Way Articulating Borescope with Light, Industrial Endoscope Inspection Camera with Articulated Probe, Flexible Mechanic Fiber Optic Snake Scope Cam for Wall Automotive Engine Inspect-5FT",With Deal: EUR 88.14,List Price: EUR 110.17,20% off,https://www.amazon.com/Articulating-Teslong-Industrial-Articulated-Inspect-5FT/dp/B0CJY5C9QX?ref=dlx_deals_dg_dcl_B0CJY5C9QX_dt_sl14_d9_pi&pf_rd_r=2BMQDE6X01A0NZ6A4MCV&pf_rd_p=feab9d2c-8001-4176-bbda-f2e5737a0bd9
B01I70RA8E,"Super Strong Nail Glue for Press On Nails, Nail Tips & Acrylic Fake Nails (8ml) NYK1 NailBond Brush On Glue for Press Ons, Tips & Acrylics - Long Lasting, Maximum Strength, Mess-Free Application",Deal Price: EUR 8.47,EUR 15.21,44% off,https://www.amazon.com/NYK1-Nail-Glue-Super-Strong-Bond/dp/B01I70RA8E?ref=dlx_deals_dg_dcl_B01I70RA8E_dt_sl14_d9_pi&pf_rd_r=2BMQDE6X01A0NZ6A4MCV&pf_rd_p=feab9d2c-8001-4176-bbda-f2e5737a0bd9
B07WRDL2VZ,"UGG Euphoria Faux Fur Throw Blanket, Warm Fluffy Throw for Couch or Bed, Luxury Bedroom Decor, Fluffy Blankets, Machine Washable, 50-inch x 70-inch, White Snow",Deal Price: EUR 46.61,"UGG Euphoria Faux Fur Throw Blanket, Warm Fluffy Throw for Couch or Bed, Luxury Bedroom Decor, Fluffy Blankets, Machine Washable, 50-inch x 70-inch, White Snow",48% off,https://www.amazon.com/UGG-Euphoria-Plush-Fur-Reversible/dp/B07WRDL2VZ?ref=dlx_deals_dg_dcl_B07WRDL2VZ_dt_sl14_d9_pi&pf_rd_r=2BMQDE6X01A0NZ6A4MCV&pf_rd_p=feab9d2c-8001-4176-bbda-f2e5737a0bd9
B01M0AGUPO,"King Pillow Cases Set of 2 - Ultra Soft Hotel Quality Pillowcase Covers - Comfy, Cozy & Wrinkle Free - Shrinkage, Stain and Fade Resistant - Machine Washable Pillow Protectors - 2 Piece Set - White",Deal Price: EUR 10.80,EUR 16.94,36% off,https://www.amazon.com/King-Pillow-Cases-Set-Comfortable/dp/B01M0AGUPO?ref=dlx_deals_dg_dcl_B01M0AGUPO_dt_sl14_d9_pi&pf_rd_r=2BMQDE6X01A0NZ6A4MCV&pf_rd_p=feab9d2c-8001-4176-bbda-f2e5737a0bd9
B092LZLLGF,"yescool Weighted Blanket for Adults (20 lbs, 60” x 80”, Grey) Cooling Heavy Blanket for Sleeping Perfect for 190-210 lbs, Queen Size Breathable Blanket with Premium Glass Bead, Machine Washable",Deal Price: EUR 31.88,"yescool Weighted Blanket for Adults (20 lbs, 60” x 80”, Grey) Cooling Heavy Blanket for Sleeping Perfect for 190-210 lbs, Queen Size Breathable Blanket with Premium Glass Bead, Machine Washable",10% off,https://www.amazon.com/Yescool-Weighted-Blanket-Sleeping-Breathable/dp/B092LZLLGF?ref=dlx_deals_dg_dcl_B092LZLLGF_dt_sl14_d9_pi&pf_rd_r=2BMQDE6X01A0NZ6A4MCV&pf_rd_p=feab9d2c-8001-4176-bbda-f2e5737a0bd9
B0BFXM9NNW,LAURA GELLER NEW YORK Jelly Balm Moisturizing Tinted Lip Balm - A Latte Love - Hydrating Vitamin E - Semi-Shine Finish,Deal Price: EUR 8.24,EUR 16.95,51% off,https://www.amazon.com/LAURA-GELLER-NEW-YORK-Moisturizing/dp/B0BFXM9NNW?ref=dlx_deals_dg_dcl_B0BFXM9NNW_dt_sl14_d9_pi&pf_rd_r=2BMQDE6X01A0NZ6A4MCV&pf_rd_p=feab9d2c-8001-4176-bbda-f2e5737a0bd9
B0BN2PX8V3,"Anua Heartleaf Pore Control Cleansing Oil, Oil Cleanser for Face, Makeup Blackhead Remover, Korean Skin Care 6.76 fl oz(200ml) (original)",Deal Price: EUR 14.24,EUR 16.87,16% off,https://www.amazon.com/ANUA-Heartleaf-Cleansing-Cleanser-Blackheads/dp/B0BN2PX8V3?ref=dlx_deals_dg_dcl_B0BN2PX8V3_dt_sl14_d9_pi&pf_rd_r=2BMQDE6X01A0NZ6A4MCV&pf_rd_p=feab9d2c-8001-4176-bbda-f2e5737a0bd9
B0FXGK76DF,"DREO Humidifiers for Bedroom, 3L Top Fill 30H & 26dB Quiet Runtime for Large Room, Cool Mist Ultrasonic Humidifier with Humidity Sensor, Night Light for Home, Baby, Nursery, Plants, New Edition",Deal Price: EUR 25.39,EUR 33.89,25% off,https://www.amazon.com/Humidifiers-Bedroom-Ultrasonic-Humidifier-Humidity/dp/B0FXGK76DF?ref=dlx_deals_dg_dcl_B0FXGK76DF_dt_sl14_d9_pi&pf_rd_r=2BMQDE6X01A0NZ6A4MCV&pf_rd_p=feab9d2c-8001-4176-bbda-f2e5737a0bd9
